,Srno,Branch Name,LandLine Number,Branch Address,Email ID,Fax Number,Address Proof,Agent Rera ID
0,1,Mukesh Enterprises,2240025000,"407-A Arcadi, NCPA Marg, 195 Nariman Point, Mumbai - 400 021",info@mukeshenterprises.com,,View,A51900003032
0,1,DGSQFT,2221739752,"PHOENIX PARAGON PLAZA, 1ST FLOOR, 1B 80, PHOENIX MARKETCITY, KAAMANI JUNCTION, KURLA WEST",durgeshv@me.com,,View,A51900003709
0,1,HEADQUARTERS,2222184574,"105, CHAWLA HOUSE, 62, WODEHOUSE ROAD, NEAR CHIRAG DIN SHOWROOM, COLABA, MUMBAI-400005",shyamvyas@yahoo.com,,View,A51900005901
0,1,SHREE VALLABHKRUPA,2228626501,A 602 RATNARAJUL CHSL M G ROAD KANDIVALI WEST,nandumaniar@gmail.com,,View,A51900000759
0,1,CORDEIRO REAL ESTATE,2224972042,11 12 building no 28 ground floor raghuvanshi mill compound senapati bapat marg lower parel west mumbai 400013,cordeirorealestate@gmail.com,,View,A51900001082
0,1,SHANTILAL AND CO,2222632752,OFFICE NO 5 2ND FLOOR RAHIMTOOLA HOUSE 7 HOMJI STREET P M ROAD FORT MUMBAI 400001,jain@propertyservices.net.in,2222665872.0,View,A51900000936
0,1,Mumbai,2266207575,1002 10th Floor B Wing ONE BKC G Block Bandra Kurla Complex Bandra East Mumbai 400 051,karma.bhutia@anarock.com,2266207576.0,View,A51900000108
1,2,DELHI,1133141000,"1110, ASHOKA ESTATE, BARAKHAMBA ROAD, CONNAUGHT PLACE, NEW DELHI-110001",karma.bhutia@anarock.com,1133141001.0,View,A51900000108
2,3,CHENNAI,4442993000,"LEVEL 8, TOWER II, TVH BELICIAA TOWERS, BLOCK NO 94, MRC NAGAR, CHENNAI 600028",karma.bhutia@anarock.com,4442993001.0,View,A51900000108
3,4,KOLKATA,3339415678,"LEVEL 2, 2 DR MARTIN LUTHER KING SARANI, FORMERLY UPPER WOOD STREET, KOLKATA 700016",karma.bhutia@anarock.com,3333436101.0,View,A51900000108
4,5,Pune,2040196100,"6th floor, Amar Avinash Corporate Plaza, Bund Garden Road Near Inox, Pune 411001",karma.bhutia@anarock.com,2040196101.0,View,A51900000108
5,6,Bengaluru,8041182900,"Level 3, Concorde UB City, 24, Vittal Mallya Road, Bangalore 560001",karma.bhutia@anarock.com,8041182901.0,View,A51900000108
6,7,GURGAON,1244605000,7th Floor Building number 9B DLF Cyber City Phase III Gurgaon 122002,karma.bhutia@anarock.com,1244605001.0,View,A51900000108
0,1,Vision Realtors,2224158757,"Shop No 15 Broadway Shopping Centre, Ground Floor, Dr Ambedkar Road, Dadar East, Mumbai 400014",vision.1@live.com,,View,A51900002523
